seed,split,selected_xgboost,selected_linucb_alpha,policy,prompts,mean_utility,mean_quality,mean_cost_usd,error_rate
42,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",0.5,oracle,5475,0.5635722566863531,0.8706484018264841,0.0005996310867579,0.0
42,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",0.5,better-rules-proxy,5475,0.496262678227632,0.7834337899543379,0.0032932127853881,0.0
42,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",0.5,fixed:gpt-4-1106-preview,5475,0.496262678227632,0.7834337899543379,0.0032932127853881,0.0
42,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",0.5,fixed:mistralai/mistral-7b-chat,5475,0.1933366489652236,0.2976986301369863,4.6273205479451856e-05,0.0
42,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",0.5,fixed:mistralai/mixtral-8x7b-chat,5475,0.3575697275456206,0.550904109589041,0.0001351665753424,0.0
42,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",0.5,fixed:zero-one-ai/Yi-34B-Chat,5475,0.4198958993442259,0.6471050228310502,0.000187014283105,0.0
42,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",0.5,xgboost,5475,0.4966157531447053,0.7833424657534247,0.0031886063196346,0.0
42,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",0.5,linucb,5475,0.4963280897342882,0.7833881278538813,0.0032690945388127,0.0
123,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,oracle,5475,0.5639143717811457,0.8711232876712328,0.0005911498447488,0.0
123,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,better-rules-proxy,5475,0.498471290501865,0.7866666666666666,0.0032660127853881,0.0
123,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:gpt-4-1106-preview,5475,0.498471290501865,0.7866666666666666,0.0032660127853881,0.0
123,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:mistralai/mistral-7b-chat,5475,0.1961186649630447,0.301972602739726,4.52754703196346e-05,0.0
123,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:mistralai/mixtral-8x7b-chat,5475,0.3499454806734027,0.5391689497716895,0.0001342517260273,0.0
123,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:zero-one-ai/Yi-34B-Chat,5475,0.419085144529799,0.6458447488584474,0.0001848778812785,0.0
123,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,xgboost,5475,0.4986792233257141,0.7863013698630137,0.0031530516894977,0.0
123,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,linucb,5475,0.4985552074726039,0.7866666666666666,0.0032447288401826,0.0
2026,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,oracle,5475,0.5627465673345715,0.8692146118721461,0.000572676675799,0.0
2026,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,better-rules-proxy,5475,0.4955196680004096,0.782109589041096,0.0032633552511415,0.0
2026,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:gpt-4-1106-preview,5475,0.4955196680004096,0.782109589041096,0.0032633552511415,0.0
2026,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:mistralai/mistral-7b-chat,5475,0.1955952254550794,0.3011689497716895,4.554560730593578e-05,0.0
2026,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:mistralai/mixtral-8x7b-chat,5475,0.3585776823965799,0.5524474885844749,0.0001339596712328,0.0
2026,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:zero-one-ai/Yi-34B-Chat,5475,0.4262549488921534,0.6568767123287671,0.0001851243835616,0.0
2026,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,xgboost,5475,0.4954467890675465,0.7813150684931507,0.0031508548310502,0.0
2026,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,linucb,5475,0.494964373985657,0.7809223744292237,0.0032084706484018,0.0
31415,test,"{""max_depth"": 3, ""n_estimators"": 150, ""learning_rate"": 0.1}",1.0,oracle,5475,0.5610874920418402,0.8669406392694063,0.0006185821369862,0.0
31415,test,"{""max_depth"": 3, ""n_estimators"": 150, ""learning_rate"": 0.1}",1.0,better-rules-proxy,5475,0.4889911667597351,0.7725114155251142,0.0033368292237442,0.0
31415,test,"{""max_depth"": 3, ""n_estimators"": 150, ""learning_rate"": 0.1}",1.0,fixed:gpt-4-1106-preview,5475,0.4889911667597351,0.7725114155251142,0.0033368292237442,0.0
31415,test,"{""max_depth"": 3, ""n_estimators"": 150, ""learning_rate"": 0.1}",1.0,fixed:mistralai/mistral-7b-chat,5475,0.199445628029099,0.3070958904109588,4.608047488584448e-05,0.0
31415,test,"{""max_depth"": 3, ""n_estimators"": 150, ""learning_rate"": 0.1}",1.0,fixed:mistralai/mixtral-8x7b-chat,5475,0.3551170958352487,0.5471324200913242,0.0001354287123287,0.0
31415,test,"{""max_depth"": 3, ""n_estimators"": 150, ""learning_rate"": 0.1}",1.0,fixed:zero-one-ai/Yi-34B-Chat,5475,0.4180572710338605,0.6442739726027398,0.0001866200547945,0.0
31415,test,"{""max_depth"": 3, ""n_estimators"": 150, ""learning_rate"": 0.1}",1.0,xgboost,5475,0.4891162868686972,0.7716621004566211,0.003165076675799,0.0
31415,test,"{""max_depth"": 3, ""n_estimators"": 150, ""learning_rate"": 0.1}",1.0,linucb,5475,0.4894778740135352,0.7729497716894976,0.0032856526392693,0.0
271828,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,oracle,5475,0.5690742941769448,0.8794246575342466,0.0006509986484018,0.0
271828,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,better-rules-proxy,5475,0.5015285324044897,0.7915159817351598,0.0032900602739725,0.0
271828,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:gpt-4-1106-preview,5475,0.5015285324044897,0.7915159817351598,0.0032900602739725,0.0
271828,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:mistralai/mistral-7b-chat,5475,0.1952861645281286,0.3006940639269406,4.564328767123269e-05,0.0
271828,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:mistralai/mixtral-8x7b-chat,5475,0.356812052449763,0.5497351598173517,0.0001346232328767,0.0
271828,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,fixed:zero-one-ai/Yi-34B-Chat,5475,0.4233163972887013,0.652365296803653,0.0001866795251141,0.0
271828,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,xgboost,5475,0.5017184866307683,0.7911324200913241,0.0031786479634703,0.0
271828,test,"{""max_depth"": 2, ""n_estimators"": 50, ""learning_rate"": 0.1}",1.0,linucb,5475,0.5007835622757535,0.7902191780821918,0.0032652165479451,0.0
